,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,kluster
885,302,2019-02-19,jakarta selatan,"jakarta selatan, kel. cilandak timur",3,0,60,0
886,303,2019-02-20,jakarta selatan,"jakarta selatan, kel. cilandak timur",3,0,60,0
887,304,2019-02-16,jakarta selatan,"jakarta selatan, kel. pengedegan",1,12,80,0
888,305,2019-02-26,jakarta selatan,"jakarta selatan, kel. pengedegan",1,12,80,0
889,306,2019-02-16,jakarta selatan,"jakarta selatan, kel. rawajati",7,0,70,0
890,306,2019-02-16,jakarta selatan,"jakarta selatan, kel. rawajati",4,0,70,0
891,307,2019-02-26,jakarta selatan,"jakarta selatan, kel. rawajati",7,0,70,0
892,307,2019-02-26,jakarta selatan,"jakarta selatan, kel. rawajati",4,0,70,0
893,308,2019-02-16,jakarta selatan,"jakarta selatan, kel. duren tiga",5,0,70,0
894,309,2019-02-17,jakarta selatan,"jakarta selatan, kel. duren tiga",5,0,70,0
895,310,2019-02-16,jakarta selatan,"jakarta selatan, kel. kalibata",9,0,40,0
896,311,2019-02-17,jakarta selatan,"jakarta selatan, kel. kalibata",9,0,40,0
897,312,2019-02-16,jakarta selatan,"jakarta selatan, kel. kebon baru",10,0,10,0
898,313,2019-02-26,jakarta selatan,"jakarta selatan, kel. manggarai",1,0,15,0
899,314,2019-02-16,jakarta selatan,"jakarta selatan, kel petogogan",2,0,50,0
900,314,2019-02-16,jakarta selatan,"jakarta selatan, kel petogogan",3,0,50,0
901,315,2019-02-17,jakarta selatan,"jakarta selatan, kel petogogan",2,0,50,0
902,315,2019-02-17,jakarta selatan,"jakarta selatan, kel petogogan",3,0,50,0
903,316,2019-02-19,jakarta selatan,"jakarta selatan, kel petogogan",2,0,50,0
904,316,2019-02-19,jakarta selatan,"jakarta selatan, kel petogogan",3,0,50,0
905,317,2019-02-20,jakarta selatan,"jakarta selatan, kel petogogan",2,0,50,0
906,317,2019-02-20,jakarta selatan,"jakarta selatan, kel petogogan",3,0,50,0
907,318,2019-02-16,jakarta selatan,"jakarta selatan, kel. kuningan barat",3,0,40,0
908,319,2019-02-17,jakarta selatan,"jakarta selatan, kel. kuningan barat",3,0,40,0
909,320,2019-02-19,jakarta selatan,"jakarta selatan, kel. cipedak",4,0,70,0
910,321,2019-02-19,jakarta selatan,"jakarta selatan, kel. cilandak barat",2,0,50,0
911,322,2019-02-20,jakarta selatan,"jakarta selatan, kel. cilandak barat",2,0,50,0
912,323,2019-02-11,jakarta timur,"jakarta timur, kel. cipinang melayu",3,0,60,0
913,323,2019-02-11,jakarta timur,"jakarta timur, kel. cipinang melayu",4,0,60,0
914,324,2019-02-12,jakarta timur,"jakarta timur, kel. cipinang melayu",3,0,60,0
915,324,2019-02-12,jakarta timur,"jakarta timur, kel. cipinang melayu",4,0,60,0
916,325,2019-02-11,jakarta timur,"jakarta timur, kel. pekayon",4,0,60,0
917,325,2019-02-11,jakarta timur,"jakarta timur, kel. pekayon",7,0,60,0
918,326,2019-02-12,jakarta timur,"jakarta timur, kel. pekayon",4,0,60,0
