,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,Unnamed: 0.1
634,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,0,1,0,0,50 - 60 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,634.0
635,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 10,1,1,0,0,30 - 50 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,635.0
636,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,0,1,0,0,30 - 50 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,636.0
637,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,0,1,0,0,30 - 50 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,637.0
638,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 11,1,1,0,0,50 - 60 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,638.0
639,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 12,1,1,0,0,40 cm,"05, 10, 11 oktober 2020",0,0,0,0,0,0,0,0,639.0
640,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,0,1,0,0,10 cm - 70 cm,05 oktober 2020,0,0,0,0,0,0,0,0,640.0
641,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,0,1,0,0,10 cm - 30 cm,"05, 10, 11 oktober 2020",0,0,0,0,0,0,0,0,641.0
642,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 14,1,1,0,0,10 cm - 30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,642.0
643,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,RW 01,1,1,0,0,10 cm - 50 cm,11 oktober 2020,0,0,0,0,0,0,0,0,643.0
644,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,0,1,0,0,10 cm - 50 cm,11 oktober 2020,0,0,0,0,0,0,0,0,644.0
645,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,0,1,0,0,10 cm - 50 cm,11 oktober 2020,0,0,0,0,0,0,0,0,645.0
646,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,0,1,0,0,10 cm - 50 cm,11 oktober 2020,0,0,0,0,0,0,0,0,646.0
647,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,0,1,0,0,10 cm - 50 cm,11 oktober 2020,0,0,0,0,0,0,0,0,647.0
648,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,0,1,0,0,10 cm - 50 cm,11 oktober 2020,0,0,0,0,0,0,0,0,648.0
649,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,0,1,0,0,10 cm - 50 cm,11 oktober 2020,0,0,0,0,0,0,0,0,649.0
650,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,0,1,0,0,10 cm - 50 cm,11 oktober 2020,0,0,0,0,0,0,0,0,650.0
651,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,RW 03,1,1,0,0,20 cm - 30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,651.0
652,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,RW 04,1,1,0,0,10 cm - 30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,652.0
653,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,0,1,0,0,10 cm - 30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,653.0
654,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,RW 05,1,1,0,0,20 cm - 30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,654.0
655,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,RW 07,1,1,0,0,20 cm - 30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,655.0
656,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,RW 01,1,1,0,0,10 cm - 80 cm,"05, 10, 11, 25 oktober 2020",0,0,0,0,0,30,1,0,656.0
657,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,RW 05,1,1,0,0,20 cm - 125 cm,"05, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,657.0
658,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,0,1,0,0,10 cm - 125 cm,"10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,658.0
659,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,0,1,0,0,10 cm - 125 cm,"05, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,659.0
660,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,0,1,0,0,10 cm - 125 cm,"05, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,660.0
661,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,0,1,0,0,10 cm - 125 cm,"05, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,661.0
662,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,0,1,0,0,10 cm - 125 cm,"05, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,662.0
663,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,RW 08,1,1,0,0,10 cm - 120 cm,"05, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,663.0
664,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,0,1,0,0,10 cm - 120 cm,"05, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,664.0
