Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",16,0,10 - 80 cm
35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",04,0,10 - 80 cm
35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",06,0,10 - 80 cm
35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",09,0,10 - 80 cm
35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",10,0,10 - 80 cm
35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",11,0,10 - 80 cm
35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",16,0,10 - 80 cm
36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",03,0,10 - 80 cm
36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",12,0,10 - 80 cm
36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",13,0,10 - 80 cm
36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",14,0,10 - 80 cm
36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",16,0,10 - 80 cm
37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",03,0,10 - 80 cm
37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",12,0,10 - 80 cm
37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",13,0,10 - 80 cm
37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",14,0,10 - 80 cm
37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",16,0,10 - 80 cm
38,15 februari 2018,jakarta barat,"jakarta barat, kembangan utara",04,0,15 - 30 cm
38,15 februari 2018,jakarta barat,"jakarta barat, kembangan utara",10,0,15 - 30 cm
39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",01,0,15 - 60 cm
39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",02,0,15 - 60 cm
39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",03,0,15 - 60 cm
39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",04,0,15 - 60 cm
39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",10,0,15 - 60 cm
40,15 februari 2018,jakarta barat,"jakarta barat, wijaya kusuma",03,0,10 - 50 cm
40,15 februari 2018,jakarta barat,"jakarta barat, wijaya kusuma",16,0,10 - 50 cm
41,16 februari 2018,jakarta barat,"jakarta barat, wijaya kusuma",03,0,10 - 50 cm
41,16 februari 2018,jakarta barat,"jakarta barat, wijaya kusuma",16,0,10 - 50 cm
42,15 februari 2018,jakarta barat,"jakarta barat, jelambar baru",1,0,10 - 30 cm
43,16 februari 2018,jakarta barat,"jakarta barat, jelambar baru",1,0,10 - 30 cm
44,15 februari 2018,jakarta barat,"jakarta barat, jati pulo",5,0,30 - 50 cm
45,16 februari 2018,jakarta barat,"jakarta barat, jati pulo",5,0,30 - 50 cm
