,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
179,40,15 februari 2018,jakarta barat,"jakarta barat, wijaya kusuma",16,0,10 - 50 
180,41,16 februari 2018,jakarta barat,"jakarta barat, wijaya kusuma",3,0,10 - 50 
181,41,16 februari 2018,jakarta barat,"jakarta barat, wijaya kusuma",16,0,10 - 50 
182,42,15 februari 2018,jakarta barat,"jakarta barat, jelambar baru",1,0,10 - 30 
183,43,16 februari 2018,jakarta barat,"jakarta barat, jelambar baru",1,0,10 - 30 
184,44,15 februari 2018,jakarta barat,"jakarta barat, jati pulo",5,0,30 - 50 
185,45,16 februari 2018,jakarta barat,"jakarta barat, jati pulo",5,0,30 - 50 
186,46,5 februari 2018,jakarta selatan,"jakarta selatan, pondok labu",3,480,40 - 50 
187,47,6 februari 2018,jakarta selatan,"jakarta selatan, pondok labu",3,480,40 - 50 
188,48,5 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",1,2993,10 - 300 
189,48,5 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",2,2993,10 - 300 
190,49,6 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",1,2993,10 - 300 
191,49,6 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",2,2993,10 - 300 
192,50,7 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",1,2993,10 - 300 
193,50,7 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",2,2993,10 - 300 
194,51,8 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",1,2993,10 - 300 
195,51,8 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",2,2993,10 - 300 
196,52,9 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",1,2993,10 - 300 
197,52,9 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",2,2993,10 - 300 
198,53,5 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",1,1509,10 - 250 
199,53,5 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",3,1509,10 - 250 
200,53,5 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",7,1509,10 - 250 
201,54,6 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",1,1509,10 - 250 
202,54,6 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",3,1509,10 - 250 
203,54,6 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",7,1509,10 - 250 
204,55,7 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",1,1509,10 - 250 
205,55,7 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",3,1509,10 - 250 
206,55,7 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",7,1509,10 - 250 
207,56,5 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",5,962,30 - 200 
208,56,5 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",6,962,30 - 200 
209,56,5 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",7,962,30 - 200 
210,56,5 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",8,962,30 - 200 
211,57,6 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",5,962,30 - 200 
212,57,6 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",6,962,30 - 200 
213,57,6 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",7,962,30 - 200 
214,57,6 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",8,962,30 - 200 
215,58,7 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",5,962,30 - 200 
216,58,7 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",6,962,30 - 200 
217,58,7 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",7,962,30 - 200 
218,58,7 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",8,962,30 - 200 
219,59,25 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",5,962,30 - 200 
220,59,25 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",6,962,30 - 200 
221,59,25 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",7,962,30 - 200 
222,59,25 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",8,962,30 - 200 
223,60,26 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",5,962,30 - 200 
224,60,26 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",6,962,30 - 200 
225,60,26 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",7,962,30 - 200 
226,60,26 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",8,962,30 - 200 
227,61,5 februari 2018,jakarta selatan,"jakarta selatan, kebon baru",10,0,20 - 80 
228,62,6 februari 2018,jakarta selatan,"jakarta selatan, kebon baru",10,0,20 - 80 
229,63,7 februari 2018,jakarta selatan,"jakarta selatan, kebon baru",10,0,20 - 80 
230,64,5 februari 2018,jakarta selatan,"jakarta selatan, manggarai",1,2347,30 - 200 
231,64,5 februari 2018,jakarta selatan,"jakarta selatan, manggarai",4,2347,30 - 200 
232,65,6 februari 2018,jakarta selatan,"jakarta selatan, manggarai",1,2347,30 - 200 
233,65,6 februari 2018,jakarta selatan,"jakarta selatan, manggarai",4,2347,30 - 200 
234,66,7 februari 2018,jakarta selatan,"jakarta selatan, manggarai",1,2347,30 - 200 
235,66,7 februari 2018,jakarta selatan,"jakarta selatan, manggarai",4,2347,30 - 200 
236,67,6 februari 2018,jakarta selatan,"jakarta selatan, bukit duri",10,0,10 - 40 
237,67,6 februari 2018,jakarta selatan,"jakarta selatan, bukit duri",11,0,10 - 40 
238,68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",2,0,50 - 200 
239,68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",3,0,50 - 200 
240,68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",4,0,50 - 200 
241,68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",6,0,50 - 200 
242,68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",7,0,50 - 200 
243,69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",1,265,100 - 300 
244,69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",2,265,100 - 300 
245,69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",5,265,100 - 300 
246,69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",6,265,100 - 300 
247,69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",7,265,100 - 300 
