,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
23,Jakarta Barat,KEC. CENGKARENG,KEL. KAPUK,"01, 02, 3, 05, 06, 07, 09, 010, 012, 013, 015, 016",12,24,0,0,15 cm - 50 cm, 05 maret 2019,0,0,0,0,0,0,0,0
24,Jakarta Barat,KEC. GROGOL PETAMBURAN,KEL. JELAMBAR BARU,"01, 02, 03, 04, 05, 06, 010, 012",8,8,0,0,20 cm - 60 cm, 05 maret 2019,0,0,0,0,0,0,0,0
25,Jakarta Barat,KEC. GROGOL PETAMBURAN,KEL. JELAMBAR ,"03, 04, 07",3,3,0,0,30 cm - 40 cm, 05 maret 2019,0,0,0,0,0,0,0,0
26,Jakarta Barat,KEC. KALIDERES,KEL. TEGAL ALUR,"01, 03, 04",3,10,0,0,15 cm - 80  cm, 05 maret 2019,0,0,0,0,0,0,0,0
27,Jakarta Barat,KEC. KEMBANGAN,KEL. JOGLO,6,1,1,0,0,15 cm, 05 maret 2019,0,0,0,0,0,0,0,0
28,Jakarta Barat,KEC. KEMBANGAN,KEL. KEMBANGAN UTARA,"04, 010",2,6,0,0,30 cm - 40 cm, 05 maret 2019,0,0,0,0,0,0,0,0
29,Jakarta Barat,KEC. KEMBANGAN,KEL. KEMBANGAN SELATAN,8,1,1,0,0,20 cm, 05 maret 2019,0,0,0,0,0,0,0,0
30,Jakarta Barat,KEC. TAMBORA,KEL. JEMBATAN LIMA,2,1,2,0,0,40 cm , 05 maret 2019,0,0,0,0,0,0,0,0
31,Jakarta Selatan,KEC. PANCORAN,KEL. RAWAJATI,7,1,1,0,0,10 - 30 cm," 02,  maret 2019",0,0,0,0,0,0,0,0
32,Jakarta Selatan,KEC. PASAR MINGGU,KEL. CILANDAK TIMUR,3,1,1,0,0,80 cm,31 maret 2019,0,0,0,0,0,0,0,0
33,Jakarta Selatan,KEC. PASAR MINGGU,KEL. JATI PADANG,8,1,2,0,0,10 - 60 cm,31 maret 2019,0,0,0,0,0,0,0,0
34,Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. PETOGOGAN,2,1,4,0,0,60 cm,31 maret 2019,0,0,0,0,0,0,0,0
35,Jakarta Selatan,KEC. CILANDAK,KEL. PONDOK LABU,10,1,1,0,0,10 - 30 cm,31 maret 2019,0,0,0,0,0,0,0,0
36,Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05, 07,08",4,24,286,925,10 - 100 cm," 02,  maret 2019",0,0,0,0,0,0,0,0
37,Jakarta Timur,KEC. KRAMAT JATI,KEL.CAWANG,"01, 02, 03, 05, 08",5,11,0,0,10 - 80 cm," 02,  maret 2019",0,0,0,0,0,0,0,0
