,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,tahun
155,2018-02-16,jakarta barat,"jakarta barat, cengkareng barat",4,0,80,2018
156,2018-02-16,jakarta barat,"jakarta barat, cengkareng barat",6,0,80,2018
157,2018-02-16,jakarta barat,"jakarta barat, cengkareng barat",9,0,80,2018
158,2018-02-16,jakarta barat,"jakarta barat, cengkareng barat",10,0,80,2018
159,2018-02-16,jakarta barat,"jakarta barat, cengkareng barat",11,0,80,2018
160,2018-02-16,jakarta barat,"jakarta barat, cengkareng barat",16,0,80,2018
161,2018-02-15,jakarta barat,"jakarta barat, cengkareng timur",3,0,80,2018
162,2018-02-15,jakarta barat,"jakarta barat, cengkareng timur",12,0,80,2018
163,2018-02-15,jakarta barat,"jakarta barat, cengkareng timur",13,0,80,2018
164,2018-02-15,jakarta barat,"jakarta barat, cengkareng timur",14,0,80,2018
165,2018-02-15,jakarta barat,"jakarta barat, cengkareng timur",16,0,80,2018
166,2018-02-16,jakarta barat,"jakarta barat, cengkareng timur",3,0,80,2018
167,2018-02-16,jakarta barat,"jakarta barat, cengkareng timur",12,0,80,2018
168,2018-02-16,jakarta barat,"jakarta barat, cengkareng timur",13,0,80,2018
169,2018-02-16,jakarta barat,"jakarta barat, cengkareng timur",14,0,80,2018
170,2018-02-16,jakarta barat,"jakarta barat, cengkareng timur",16,0,80,2018
171,2018-02-15,jakarta barat,"jakarta barat, kembangan utara",4,0,30,2018
172,2018-02-15,jakarta barat,"jakarta barat, kembangan utara",10,0,30,2018
173,2018-02-15,jakarta barat,"jakarta barat, duri kepa",1,0,60,2018
174,2018-02-15,jakarta barat,"jakarta barat, duri kepa",2,0,60,2018
175,2018-02-15,jakarta barat,"jakarta barat, duri kepa",3,0,60,2018
176,2018-02-15,jakarta barat,"jakarta barat, duri kepa",4,0,60,2018
177,2018-02-15,jakarta barat,"jakarta barat, duri kepa",10,0,60,2018
178,2018-02-15,jakarta barat,"jakarta barat, wijaya kusuma",3,0,50,2018
179,2018-02-15,jakarta barat,"jakarta barat, wijaya kusuma",16,0,50,2018
180,2018-02-16,jakarta barat,"jakarta barat, wijaya kusuma",3,0,50,2018
181,2018-02-16,jakarta barat,"jakarta barat, wijaya kusuma",16,0,50,2018
182,2018-02-15,jakarta barat,"jakarta barat, jelambar baru",1,0,30,2018
183,2018-02-16,jakarta barat,"jakarta barat, jelambar baru",1,0,30,2018
184,2018-02-15,jakarta barat,"jakarta barat, jati pulo",5,0,50,2018
185,2018-02-16,jakarta barat,"jakarta barat, jati pulo",5,0,50,2018
186,2018-02-05,jakarta selatan,"jakarta selatan, pondok labu",3,480,50,2018
187,2018-02-06,jakarta selatan,"jakarta selatan, pondok labu",3,480,50,2018
188,2018-02-05,jakarta selatan,"jakarta selatan, pangadegan",1,2993,300,2018
189,2018-02-05,jakarta selatan,"jakarta selatan, pangadegan",2,2993,300,2018
190,2018-02-06,jakarta selatan,"jakarta selatan, pangadegan",1,2993,300,2018
191,2018-02-06,jakarta selatan,"jakarta selatan, pangadegan",2,2993,300,2018
192,2018-02-07,jakarta selatan,"jakarta selatan, pangadegan",1,2993,300,2018
193,2018-02-07,jakarta selatan,"jakarta selatan, pangadegan",2,2993,300,2018
194,2018-02-08,jakarta selatan,"jakarta selatan, pangadegan",1,2993,300,2018
