Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
3 Desember 2020, 10:39 ,1.0, 22:49 ,0.2,69  rata-rata 
4 Desember 2020, 11:01 ,1.0, 23:24 ,0.2,62  rata-rata 
5 Desember 2020, 11:24 ,1.0, 23:52 ,0.2,56  rata-rata 
6 Desember 2020, 11:43 ,1.0, 11:41 ,0.9,51  rata-rata 
7 Desember 2020, 0:13 ,0.2, 10:37 ,0.8,50  rata-rata 
8 Desember 2020, 0:26 ,0.3, 9:22 ,0.8,55  rata-rata 
9 Desember 2020, 0:32 ,0.3, 8:49 ,0.9,64  rata-rata 
10 Desember 2020, 0:28 ,0.4, 8:44 ,1.0,74  tinggi 
11 Desember 2020, 0:13 ,0.4, 18:15 ,0.3,84  tinggi 
12 Desember 2020, 8:57 ,1.0, 18:58 ,0.2,92  s. tinggi 
13 Desember 2020, 9:19 ,1.1, 19:46 ,0.2,96  s. tinggi 
14 Desember 2020, 9:47 ,1.2, 20:38 ,0.1,96  s. tinggi 
15 Desember 2020, 10:18 ,1.2, 21:29 ,0.1,93  s. tinggi 
16 Desember 2020, 10:49 ,1.2, 22:17 ,0.1,86  tinggi 
17 Desember 2020, 11:17 ,1.1, 22:58 ,0.2,77  tinggi 
18 Desember 2020, 11:39 ,1.0, 23:32 ,0.2,67  rata-rata 
