,Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
294,22 Oktober 2019, 2:04 ,0.2, 18:06 ,0.8,48  rendah 
295,23 Oktober 2019, 2:26 ,0.2, 10:41 ,0.7,62  rata-rata 
296,24 Oktober 2019, 2:44 ,0.3, 10:07 ,0.7,78  tinggi 
297,25 Oktober 2019, 2:57 ,0.3, 10:01 ,0.8,93  s. tinggi 
298,26 Oktober 2019, 3:05 ,0.4, 10:10 ,0.8,105  s. tinggi 
299,27 Oktober 2019, 3:04 ,0.4, 10:27 ,0.9,110  s. tinggi 
300,28 Oktober 2019, 2:48 ,0.5, 10:49 ,1,109  s. tinggi 
301,29 Oktober 2019, 1:41 ,0.4, 22:13 ,0.3,103  s. tinggi 
302,30 Oktober 2019, 11:13 ,1, 23:22 ,0.2,91  s. tinggi 
303,31 Oktober 2019, 11:38 ,1, 12:00 ,0.8,77  tinggi 
304,1-Nov-19, 12:01 ,1, 12:16 ,0.9,62  rata-rata 
305,2-Nov-19, 0:10 ,0.2, 12:06 ,0.9,48  rendah 
306,3-Nov-19, 0:49 ,0.2, 11:19 ,0.8,38  rendah 
307,4-Nov-19, 1:21 ,0.2, 10:45 ,0.8,34  rendah 
308,5-Nov-19, 1:47 ,0.2, 10:28 ,0.8,38  rendah 
309,6-Nov-19, 2:09 ,0.3, 10:17 ,0.8,46  rendah 
310,7-Nov-19, 2:24 ,0.3, 10:11 ,0.8,56  rata-rata 
311,8-Nov-19, 2:33 ,0.4, 10:06 ,0.8,65  rata-rata 
312,9-Nov-19, 2:34 ,0.4, 10:03 ,0.8,74  tinggi 
313,10-Nov-19, 2:24 ,0.4, 10:02 ,0.9,81  tinggi 
314,11-Nov-19, 1:54 ,0.5, 10:04 ,0.9,85  tinggi 
315,12-Nov-19, 0:28 ,0.4, 21:02 ,0.3,87  tinggi 
316,13-Nov-19, 10:11 ,1, 22:10 ,0.3,87  tinggi 
317,14-Nov-19, 10:24 ,1, 23:00 ,0.2,83  tinggi 
318,15-Nov-19, 10:43 ,1, 23:40 ,0.2,77  tinggi 
319,16-Nov-19, 11:08 ,1, 12:09 ,1,68  rata-rata 
320,17-Nov-19, 11:38 ,1, 12:35 ,0.9,59  rata-rata 
321,18-Nov-19, 0:13 ,0.2, 11:57 ,0.8,52  rata-rata 
322,19-Nov-19, 0:40 ,0.2, 10:08 ,0.8,49  rendah 
323,20-Nov-19, 1:02 ,0.2, 9:26 ,0.8,54  rata-rata 
324,21-Nov-19, 1:19 ,0.3, 9:16 ,0.9,65  rata-rata 
325,22-Nov-19, 1:30 ,0.3, 9:23 ,0.9,77  tinggi 
326,23-Nov-19, 1:34 ,0.4, 9:40 ,1,87  tinggi 
327,24-Nov-19, 1:28 ,0.4, 19:38 ,0.3,95  s. tinggi 
328,25-Nov-19, 0:57 ,0.4, 20:40 ,0.2,99  s. tinggi 
329,26-Nov-19, 10:01 ,1.1, 21:40 ,0.2,98  s. tinggi 
330,27-Nov-19, 10:24 ,1.1, 22:32 ,0.2,93  s. tinggi 
331,28-Nov-19, 10:48 ,1.1, 23:17 ,0.2,85  tinggi 
332,29-Nov-19, 11:08 ,1, 12:16 ,0.9,75  tinggi 
333,30-Nov-19, 11:23 ,1, 12:06 ,0.9,64  rata-rata 
0,1 Desember 2019, 11:27 ,1, 23:54 ,0.2,53  rata-rata 
1,2 Desember 2019, 11:14 ,0.9, 10:45 ,0.9,44  rendah 
2,3 Desember 2019, 0:23 ,0.2, 10:15 ,0.9,39  rendah 
